rank,rankChange,symbolCode,shortCode,code,name,isNew,tradePrice,change,changePrice,changeRate,signedChangeRate,accTradeVolume,accTradePrice,chartSlideImage,boardUrl
1,1,A005930,A005930,KR7005930003,삼성전자,False,55900,RISE,500,0.0090252708,0.0090252708,6484869,361177863700,,https://finance.daum.net/quotes/A005930#talks
2,-1,A035720,A035720,KR7035720002,카카오,False,38100,FALL,-550,-0.0142302717,-0.0142302717,481082,18460696850,,https://finance.daum.net/quotes/A035720#talks
3,1,A000660,A000660,KR7000660001,SK하이닉스,False,193300,FALL,-1700,-0.0087179487,-0.0087179487,1410894,273194259900,,https://finance.daum.net/quotes/A000660#talks
4,-1,A042660,A042660,KR7042660001,한화오션,False,42850,FALL,-50,-0.0011655012,-0.0011655012,4328419,184953028000,,https://finance.daum.net/quotes/A042660#talks
5,0,A000100,A000100,KR7000100008,유한양행,True,135900,RISE,14500,0.1194398682,0.1194398682,3936931,531614997100,,https://finance.daum.net/quotes/A000100#talks
6,0,A068270,A068270,KR7068270008,셀트리온,True,185800,RISE,1900,0.010331702,0.010331702,158651,29491270500,,https://finance.daum.net/quotes/A068270#talks
7,0,A082740,A082740,KR7082740002,한화엔진,True,21750,RISE,2460,0.1275272162,0.1275272162,4302134,95122526300,,https://finance.daum.net/quotes/A082740#talks
8,0,A034020,A034020,KR7034020008,두산에너빌리티,True,18500,FALL,-480,-0.0252897787,-0.0252897787,1635714,30299755530,,https://finance.daum.net/quotes/A034020#talks
9,0,A005935,A005935,KR7005931001,삼성전자우,True,45950,RISE,200,0.0043715847,0.0043715847,267687,12280405050,,https://finance.daum.net/quotes/A005935#talks
10,0,A277810,A277810,KR7277810008,레인보우로보틱스,True,236000,FALL,-6000,-0.0247933884,-0.0247933884,367870,87319231500,,https://finance.daum.net/quotes/A277810#talks
